"HS2","HS2ID","HS4","HS4ID","Section","SectionID","TradeValue","Year"
"Textile fabrics",1159,"Coated Textile Fabric",115907,"Textiles",11,4983,2019
"Textile fabrics",1159,"Hose Piping Textiles",115909,"Textiles",11,361336,2019
"Textile fabrics",1159,"Conveyor Belt Textiles",115910,"Textiles",11,4650,2019
"Textile fabrics",1159,"Technical Use Textiles",115911,"Textiles",11,18606814,2019
"Exports",1,"Textile fabrics",1159,"Textile fabrics",1,1,2019
"Knitted or chrocheted fabrics",1160,"Pile Fabric",116001,"Textiles",11,7617,2019
"Knitted or chrocheted fabrics",1160,"Light Rubberized Knitted Fabric",116002,"Textiles",11,959694,2019
"Exports",1,"Knitted or chrocheted fabrics",1160,"Knitted or chrocheted fabrics",1,1,2019
"Knitted or crocheted apparel and clothing accessories",1161,"Knit Men's Coats",116101,"Textiles",11,19530,2019
"Knitted or crocheted apparel and clothing accessories",1161,"Knit Women's Coats",116102,"Textiles",11,8796,2019
"Knitted or crocheted apparel and clothing accessories",1161,"Knit Men's Suits",116103,"Textiles",11,776824,2019
"Knitted or crocheted apparel and clothing accessories",1161,"Knit Women's Suits",116104,"Textiles",11,298322,2019
"Knitted or crocheted apparel and clothing accessories",1161,"Knit Men's Shirts",116105,"Textiles",11,101564,2019
"Knitted or crocheted apparel and clothing accessories",1161,"Knit Women's Shirts",116106,"Textiles",11,68230,2019
"Knitted or crocheted apparel and clothing accessories",1161,"Knit Men's Undergarments",116107,"Textiles",11,80739,2019
"Knitted or crocheted apparel and clothing accessories",1161,"Knit Women's Undergarments",116108,"Textiles",11,54760,2019
"Knitted or crocheted apparel and clothing accessories",1161,"Knit T-shirts",116109,"Textiles",11,1232329,2019
"Knitted or crocheted apparel and clothing accessories",1161,"Knit Sweaters",116110,"Textiles",11,275800,2019
"Knitted or crocheted apparel and clothing accessories",1161,"Knit Babies' Garments",116111,"Textiles",11,55111,2019
"Knitted or crocheted apparel and clothing accessories",1161,"Knit Active Wear",116112,"Textiles",11,52560,2019
"Knitted or crocheted apparel and clothing accessories",1161,"Garments of Impregnated Fabric",116113,"Textiles",11,3994,2019
"Knitted or crocheted apparel and clothing accessories",1161,"Other Knit Garments",116114,"Textiles",11,658057,2019
"Knitted or crocheted apparel and clothing accessories",1161,"Knit Socks and Hosiery",116115,"Textiles",11,31209603,2019
"Knitted or crocheted apparel and clothing accessories",1161,"Knit Gloves",116116,"Textiles",11,61567,2019
"Knitted or crocheted apparel and clothing accessories",1161,"Other Knit Clothing Accessories",116117,"Textiles",11,83050,2019
"Exports",1,"Knitted or crocheted apparel and clothing accessories",1161,"Knitted or crocheted apparel and clothing accessories",1,1,2019
"Non-knit or crocheted apparel and clothing accessories",1162,"Non-Knit Men's Coats",116201,"Textiles",11,188182,2019
"Non-knit or crocheted apparel and clothing accessories",1162,"Non-Knit Women's Coats",116202,"Textiles",11,57311,2019
"Non-knit or crocheted apparel and clothing accessories",1162,"Non-Knit Men's Suits",116203,"Textiles",11,2864326,2019
"Non-knit or crocheted apparel and clothing accessories",1162,"Non-Knit Women's Suits",116204,"Textiles",11,1316035,2019
"Non-knit or crocheted apparel and clothing accessories",1162,"Non-Knit Men's Shirts",116205,"Textiles",11,567287,2019
"Non-knit or crocheted apparel and clothing accessories",1162,"Non-Knit Women's Shirts",116206,"Textiles",11,241173,2019
"Non-knit or crocheted apparel and clothing accessories",1162,"Non-Knit Men's Undergarments",116207,"Textiles",11,299424,2019
"Non-knit or crocheted apparel and clothing accessories",1162,"Non-Knit Women's Undergarments",116208,"Textiles",11,168015,2019
"Non-knit or crocheted apparel and clothing accessories",1162,"Non-Knit Babies' Garments",116209,"Textiles",11,51130,2019
"Non-knit or crocheted apparel and clothing accessories",1162,"Felt or Coated Fabric Garments",116210,"Textiles",11,213535,2019
"Non-knit or crocheted apparel and clothing accessories",1162,"Non-Knit Active Wear",116211,"Textiles",11,287757,2019
"Non-knit or crocheted apparel and clothing accessories",1162,"Other Women's Undergarments",116212,"Textiles",11,7956717,2019
"Non-knit or crocheted apparel and clothing accessories",1162,"Handkerchiefs",116213,"Textiles",11,181,2019
"Non-knit or crocheted apparel and clothing accessories",1162,"Scarves",116214,"Textiles",11,91720,2019
"Non-knit or crocheted apparel and clothing accessories",1162,"Neck Ties",116215,"Textiles",11,5053,2019
"Non-knit or crocheted apparel and clothing accessories",1162,"Non-Knit Gloves",116216,"Textiles",11,8539,2019
"Non-knit or crocheted apparel and clothing accessories",1162,"Other Non-Knit Clothing Accessories",116217,"Textiles",11,135025,2019
"Exports",1,"Non-knit or crocheted apparel and clothing accessories",1162,"Non-knit or crocheted apparel and clothing accessories",1,1,2019
"Textiles, made up articles; sets; worn clothing and worn textile articles; rags",1163,"Blankets",116301,"Textiles",11,444127,2019
"Textiles, made up articles; sets; worn clothing and worn textile articles; rags",1163,"House Linens",116302,"Textiles",11,657739,2019
"Textiles, made up articles; sets; worn clothing and worn textile articles; rags",1163,"Window Dressings",116303,"Textiles",11,379215,2019
"Textiles, made up articles; sets; worn clothing and worn textile articles; rags",1163,"Bedspreads",116304,"Textiles",11,946699,2019
"Textiles, made up articles; sets; worn clothing and worn textile articles; rags",1163,"Packing Bags",116305,"Textiles",11,766785,2019
"Textiles, made up articles; sets; worn clothing and worn textile articles; rags",1163,"Awnings, Tents, and Sails",116306,"Textiles",11,352512,2019
"Textiles, made up articles; sets; worn clothing and worn textile articles; rags",1163,"Other Cloth Articles",116307,"Textiles",11,2745999,2019
"Textiles, made up articles; sets; worn clothing and worn textile articles; rags",1163,"Packaged Sewing Sets",116308,"Textiles",11,219,2019
"Textiles, made up articles; sets; worn clothing and worn textile articles; rags",1163,"Used Clothing",116309,"Textiles",11,339097,2019
"Textiles, made up articles; sets; worn clothing and worn textile articles; rags",1163,"Textile Scraps",116310,"Textiles",11,47005,2019
"Exports",1,"Textiles, made up articles; sets; worn clothing and worn textile articles; rags",1163,"Textiles, made up articles; sets; worn clothing and worn textile articles; rags",1,1,2019
