"HS2","HS2ID","HS4","HS4ID","Section","SectionID","TradeValue","Year"
"Sugars and sugar confectionery",417,"Confectionery Sugar",41704,"Foodstuffs",4,16518178,2019
"Exports",1,"Sugars and sugar confectionery",417,"Sugars and sugar confectionery",1,1,2019
"Cocoa and cocoa preparations",418,"Cocoa Beans",41801,"Foodstuffs",4,1727000,2019
"Cocoa and cocoa preparations",418,"Cocoa Paste",41803,"Foodstuffs",4,2553,2019
"Cocoa and cocoa preparations",418,"Cocoa Butter",41804,"Foodstuffs",4,49798.00000000001,2019
"Cocoa and cocoa preparations",418,"Cocoa Powder",41805,"Foodstuffs",4,122047,2019
"Cocoa and cocoa preparations",418,"Chocolate",41806,"Foodstuffs",4,9509786,2019
"Exports",1,"Cocoa and cocoa preparations",418,"Cocoa and cocoa preparations",1,1,2019
"Preparations of vegetables, fruit, nuts or other parts of plants",420,"Pickled Foods",42001,"Foodstuffs",4,1583567,2019
"Preparations of vegetables, fruit, nuts or other parts of plants",420,"Processed Tomatoes",42002,"Foodstuffs",4,6036717,2019
"Preparations of vegetables, fruit, nuts or other parts of plants",420,"Processed Mushrooms",42003,"Foodstuffs",4,584255,2019
"Preparations of vegetables, fruit, nuts or other parts of plants",420,"Other Frozen Vegetables",42004,"Foodstuffs",4,1573789,2019
"Preparations of vegetables, fruit, nuts or other parts of plants",420,"Other Processed Vegetables",42005,"Foodstuffs",4,6781542,2019
"Preparations of vegetables, fruit, nuts or other parts of plants",420,"Sugar Preserved Foods",42006,"Foodstuffs",4,1739052,2019
"Preparations of vegetables, fruit, nuts or other parts of plants",420,"Jams",42007,"Foodstuffs",4,29203004,2019
"Preparations of vegetables, fruit, nuts or other parts of plants",420,"Other Processed Fruits and Nuts",42008,"Foodstuffs",4,169027547,2019
"Preparations of vegetables, fruit, nuts or other parts of plants",420,"Fruit Juice",42009,"Foodstuffs",4,156036926,2019
"Exports",1,"Preparations of vegetables, fruit, nuts or other parts of plants",420,"Preparations of vegetables, fruit, nuts or other parts of plants",1,1,2019
"Miscellaneous edible preparations",421,"Coffee and Tea Extracts",42101,"Foodstuffs",4,1849512,2019
"Miscellaneous edible preparations",421,"Yeast",42102,"Foodstuffs",4,682178,2019
"Miscellaneous edible preparations",421,"Sauces and Seasonings",42103,"Foodstuffs",4,110227334,2019
"Miscellaneous edible preparations",421,"Soups and Broths",42104,"Foodstuffs",4,208341,2019
"Miscellaneous edible preparations",421,"Ice Cream",42105,"Foodstuffs",4,13586873,2019
"Miscellaneous edible preparations",421,"Other Edible Preparations",42106,"Foodstuffs",4,463747632,2019
"Exports",1,"Miscellaneous edible preparations",421,"Miscellaneous edible preparations",1,1,2019
